project,mutant_id,class,method,line,mutator,description,pit_status,pit_label,pitmus_status,agreement,detail,time_seconds
commons-beanutils,806b82feb86f,org.apache.commons.beanutils.locale.BaseLocaleConverter,convert,239,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.89
commons-beanutils,c89f3427025c,org.apache.commons.beanutils.locale.BaseLocaleConverter,convert,233,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,MEMORY_ERROR,KILLED,SURVIVED,disagreed,ok,25.55
commons-beanutils,ac093e0cced6,org.apache.commons.beanutils.locale.BaseLocaleConverter,convert,240,NullReturnValsMutator,replaced return value with null for org/apache/commons/beanutils/locale/BaseLocaleConverter::convert,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.90
commons-beanutils,b55892345e38,org.apache.commons.beanutils.DynaProperty,writeObject,282,VoidMethodCallMutator,removed call to java/io/ObjectOutputStream::defaultWriteObject,KILLED,KILLED,KILLED,agreed,test_failure,3.15
commons-beanutils,6b554a6688bf,org.apache.commons.beanutils.expression.DefaultResolver,getProperty,153,EmptyObjectReturnValsMutator,"replaced return value with """" for org/apache/commons/beanutils/expression/DefaultResolver::getProperty",KILLED,KILLED,KILLED,agreed,test_failure,12.37
commons-beanutils,6a70e455ddcd,org.apache.commons.beanutils.expression.DefaultResolver,getProperty,148,EmptyObjectReturnValsMutator,"replaced return value with """" for org/apache/commons/beanutils/expression/DefaultResolver::getProperty",KILLED,KILLED,KILLED,agreed,test_failure,2.93
commons-beanutils,0fa54e9e54cf,org.apache.commons.beanutils.expression.DefaultResolver,getProperty,145,ConditionalsBoundaryMutator,changed conditional boundary,KILLED,KILLED,KILLED,agreed,test_failure,3.38
commons-beanutils,c17ab9bad9fa,org.apache.commons.beanutils.MethodUtils$MethodDescriptor,<init>,1326,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,KILLED,KILLED,agreed,timeout,90.11
commons-beanutils,38525924f131,org.apache.commons.beanutils.MethodUtils$MethodDescriptor,<init>,1323,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.97
commons-beanutils,25c953da4aab,org.apache.commons.beanutils.MethodUtils$MethodDescriptor,<init>,1326,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,4.64
commons-beanutils,4ebc56e34a34,org.apache.commons.beanutils.MethodUtils$MethodDescriptor,<init>,1323,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,KILLED,KILLED,agreed,timeout,90.15
commons-beanutils,440d417be252,org.apache.commons.beanutils.MethodUtils$MethodDescriptor,<init>,1329,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,MEMORY_ERROR,KILLED,KILLED,agreed,timeout,90.07
commons-beanutils,4f58a46478e1,org.apache.commons.beanutils.LazyDynaBean,createIndexedProperty,695,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,7.22
